,start,end,text
102,507.96,512.476,"['gibt', 'es', 'einen', 'mr', 'gump', 'mrs', 'gump']"
103,511.9,513.9,"[u'hancock', u'mustert', u'sie', u'luestern']"
104,514.96,517.076,"['er', 'macht', 'ferien']"
105,517.0,517.5,[u'abends']
106,519.1,524.0,"[u'forrest', u'sitzt', u'vor', u'dem', u'haus', u'auf', u'einer', u'schaukel', u'und', u'blickt', u'zu', u'boden', u'im', u'ersten', u'stock', u'brennt', u'licht']"
107,527.9,532.9,"[u'verschwitzt', u'kommt', u'hancock', u'aus', u'dem', u'haus', u'auf', u'die', u'veranda', u'dort', u'sitzt', u'forrest', u'teilnahmslos', u'in', u'einem', u'schaukelstuhl']"
108,533.04,537.272,"['deiner', 'mama', 'ist', 'deine', 'einschulung', 'aber', 'wichtig', 'mein', 'sohn']"
109,537.4,542.2,"[u'mit', u'einem', u'taschentuch', u'wischt', u'er', u'sich', u'ueber', u'den', u'hals', u'und', u'sieht', u'zu', u'forrest', u'der', u'starrt', u'ins', u'leere']"
110,542.24,544.708,"['du', 'redest', 'nicht', 'viel', 'oder']"
111,545.3,546.6,"[u'forrest', u'schaut', u'hancock', u'an']"
112,550.5,555.4,"[u'hancock', u'marschiert', u'davon', u's', u'die', u'mutter', u'sitzt', u'mit', u'dem', u'buch', u'curious', u'george', u'auf', u'dem', u'bett', u'von', u'forrest']"
113,556.0,560.596,"['schlie\xdflich', 'versuchte', 'er', 'es', 'es', 'sah', 'leicht', 'aus', 'aber']"
114,560.68,563.069,"['oh', 'was', 'ist', 'los', 'zuerst']"
115,563.16,567.517,"['mama', 'was', 'bedeutet', 'ferien', 'ferien']"
116,567.6,570.273,"['wo', 'daddy', 'ist']"
117,571.92,577.711,"['ferien', 'ist', 'wenn', 'man', 'wegf\xe4hrt', 'und', 'nie', 'mehr', 'zur\xfcckkommt']"
118,578.0,580.2,"[u'er', u'blickt', u'gedankenverloren', u'zur', u'zimmerdecke']"
119,582.16,586.631,"['also', 'man', 'konnte', 'sagen', 'dass', 'mama', 'und', 'ich', 'allein', 'waren']"
120,586.76,590.912,"['aber', 'das', 'machte', 'uns', 'nichts', 'unser', 'haus', 'war', 'nie', 'leer']"
121,586.9,587.7,"[u'es', u'ist', u'tag']"
122,591.0,593.798,"['es', 'kamen', 'und', 'gingen', 'immer', 'leute']"
123,593.88,598.351,"['essen', 'abendessen', 'alle', 'mann', 'das', 'sieht', 'aber', 'gut', 'aus']"
124,598.44,600.829,"['manchmal', 'wohnten', 'so', 'viele', 'leute', 'bei', 'uns']"
125,600.92,604.117,"['dass', 'alle', 'zimmer', 'voll', 'mit', 'reisenden', 'waren', 'wissen', 'sie']"
126,604.2,609.877,"['leute', 'die', 'aus', 'ihren', 'koffern', 'und', 'hutschachteln', 'und', 'kisten', 'lebten']"
127,609.96,613.873,"['forrest', 'gump', 'abendessen', 'forrest']"
128,613.96,619.193,"['einmal', 'wohnte', 'ein', 'junger', 'mann', 'bei', 'uns', 'der', 'hatte', 'einen', 'gitarrenkoffer']"
